Ticker,First_Close,Last_Close,Monthly_Return_%,Month,Type
NESTLEIND,2231.52,2423.48,8.602208360220837,2023-10,Gainer
COALINDIA,291.9,314.25,7.65673175745119,2023-10,Gainer
BAJAJ-AUTO,5016.45,5314.05,5.932482133779872,2023-10,Gainer
SBILIFE,1292.45,1367.85,5.833881388061423,2023-10,Gainer
TRENT,2059.1,2154.7,4.642805109028212,2023-10,Gainer
TATASTEEL,128.0,118.75,-7.2265625,2023-10,Loser
TECHM,1216.2,1133.15,-6.828646604176941,2023-10,Loser
SBIN,602.95,565.55,-6.202836056057731,2023-10,Loser
BAJFINANCE,7967.6,7492.65,-5.961017119333309,2023-10,Loser
APOLLOHOSP,5118.95,4819.9,-5.842018382676138,2023-10,Loser
TRENT,2197.65,2787.0,26.817282096785195,2023-11,Gainer
HEROMOTOCO,3092.45,3819.05,23.495933644844715,2023-11,Gainer
BPCL,178.45,217.85,22.07901372933595,2023-11,Gainer
EICHERMOT,3282.25,3896.9,18.72648335745297,2023-11,Gainer
APOLLOHOSP,4796.55,5528.95,15.269308148565106,2023-11,Gainer
BAJFINANCE,7471.9,7121.9,-4.684216865857413,2023-11,Loser
SBIN,566.4,564.75,-0.2913135593220299,2023-11,Loser
CIPLA,1201.25,1212.3,0.919875130072837,2023-11,Loser
NESTLEIND,2387.27,2423.61,1.5222408860330061,2023-11,Loser
ITC,428.1,435.8,1.7986451763606606,2023-11,Loser
BEL,147.45,184.2,24.923702950152595,2023-12,Gainer
ADANIPORTS,827.8,1024.35,23.74365788837883,2023-12,Gainer
ADANIENT,2362.7,2848.95,20.580268337071995,2023-12,Gainer
HINDALCO,517.2,614.85,18.88051044083526,2023-12,Gainer
ULTRACEMCO,9033.85,10503.0,16.262722980788915,2023-12,Gainer
HDFCLIFE,682.15,646.7,-5.19680422194531,2023-12,Loser
MARUTI,10585.7,10302.3,-2.677196595407025,2023-12,Loser
AXISBANK,1104.65,1102.3,-0.21273706603902923,2023-12,Loser
BAJAJFINSV,1685.95,1685.8,-0.008897061004187013,2023-12,Loser
SBILIFE,1423.65,1432.6,0.6286657535208666,2023-12,Loser
ONGC,205.35,252.25,22.83905527148771,2024-01,Gainer
SHRIRAMFIN,2048.85,2466.8,20.399248358835457,2024-01,Gainer
BHARTIARTL,1013.05,1170.7,15.56191698336707,2024-01,Gainer
ADANIPORTS,1047.85,1207.65,15.250274371331793,2024-01,Gainer
BAJAJ-AUTO,6701.1,7667.55,14.422259032099205,2024-01,Gainer
HDFCBANK,1698.1,1462.55,-13.871385666332959,2024-01,Loser
ASIANPAINT,3396.1,2957.85,-12.904508112246402,2024-01,Loser
HDFCLIFE,648.7,576.6,-11.114536765839373,2024-01,Loser
NESTLEIND,2737.24,2506.0,-8.447925647732745,2024-01,Loser
JSWSTEEL,877.6,818.65,-6.717183226982685,2024-01,Loser
TRENT,3102.8,3881.8,25.10635554982596,2024-02,Gainer
BPCL,254.23,301.93,18.762537859418643,2024-02,Gainer
M&M,1651.15,1932.4,17.03358265451352,2024-02,Gainer
SBIN,647.65,748.1,15.509920481741691,2024-02,Gainer
SUNPHARMA,1407.95,1577.95,12.074292410952093,2024-02,Gainer
HINDALCO,571.25,503.85,-11.798687089715532,2024-02,Loser
ITC,442.9,406.3,-8.263716414540522,2024-02,Loser
KOTAKBANK,1822.75,1689.45,-7.313125771499106,2024-02,Loser
INDUSINDBK,1541.15,1474.9,-4.298737955422898,2024-02,Loser
HDFCBANK,1466.35,1403.4,-4.29297234630203,2024-02,Loser
BAJAJ-AUTO,8040.05,9148.15,13.782252597931599,2024-03,Gainer
BAJFINANCE,6571.45,7245.25,10.253444825723397,2024-03,Gainer
BHARTIARTL,1128.7,1228.6,8.85089040489057,2024-03,Gainer
MARUTI,11620.95,12600.35,8.427882402041137,2024-03,Gainer
HINDALCO,519.1,560.25,7.92718166056636,2024-03,Gainer
INFY,1654.7,1498.05,-9.46697286517194,2024-03,Loser
TATACONSUM,1186.26,1082.74,-8.726586077251191,2024-03,Loser
WIPRO,519.1,480.1,-7.513003274898863,2024-03,Loser
HCLTECH,1644.1,1543.55,-6.115808040873424,2024-03,Loser
HINDUNILVR,2409.7,2264.35,-6.031871187284721,2024-03,Loser
EICHERMOT,3946.65,4597.4,16.488667604170615,2024-04,Gainer
TRENT,3886.8,4409.9,13.458371925491392,2024-04,Gainer
HINDALCO,568.6,644.4,13.33098839254308,2024-04,Gainer
M&M,1915.95,2156.35,12.547300294892866,2024-04,Gainer
BEL,211.1,233.75,10.72951207958314,2024-04,Gainer
HCLTECH,1556.7,1366.6,-12.211729941543016,2024-04,Loser
KOTAKBANK,1790.7,1623.95,-9.312000893505333,2024-04,Loser
HDFCLIFE,634.75,583.65,-8.0504135486412,2024-04,Loser
APOLLOHOSP,6457.25,5947.1,-7.900422006272015,2024-04,Loser
SUNPHARMA,1629.25,1502.1,-7.804204388522332,2024-04,Loser
BEL,234.75,295.95,26.0702875399361,2024-05,Gainer
M&M,2185.15,2506.25,14.69464338832574,2024-05,Gainer
HEROMOTOCO,4561.5,5119.6,12.235010413241266,2024-05,Gainer
ADANIENT,3039.6,3411.35,12.230227661534412,2024-05,Gainer
BRITANNIA,4759.65,5179.8,8.827329740632202,2024-05,Gainer
TATAMOTORS,1027.8,923.0,-10.196536291107215,2024-05,Loser
TITAN,3568.45,3241.9,-9.151031960655178,2024-05,Loser
SHRIRAMFIN,2582.1,2354.05,-8.83195848340497,2024-05,Loser
DRREDDY,1257.5,1158.37,-7.883101391650108,2024-05,Loser
ONGC,282.8,264.35,-6.52404526166902,2024-05,Loser
TRENT,4662.2,5479.85,17.5378576637639,2024-06,Gainer
SHRIRAMFIN,2509.15,2911.5,16.035310762608848,2024-06,Gainer
WIPRO,444.1,514.85,15.931096599864894,2024-06,Gainer
TECHM,1245.35,1430.35,14.855261573051754,2024-06,Gainer
GRASIM,2368.8,2670.45,12.734295845997956,2024-06,Gainer
ADANIENT,3645.25,3177.15,-12.841368904739042,2024-06,Loser
LT,3897.15,3548.45,-8.947564245666712,2024-06,Loser
BPCL,333.08,303.95,-8.745646691485529,2024-06,Loser
COALINDIA,512.35,473.15,-7.6510198106763045,2024-06,Loser
ADANIPORTS,1583.95,1478.1,-6.682660437513818,2024-06,Loser
ONGC,272.95,334.2,22.44000732734933,2024-07,Gainer
HDFCLIFE,600.75,715.5,19.101123595505616,2024-07,Gainer
INFY,1590.8,1868.25,17.44091023384461,2024-07,Gainer
SBILIFE,1501.85,1753.65,16.765988614042694,2024-07,Gainer
ITC,429.05,495.35,15.452744435380495,2024-07,Gainer
AXISBANK,1261.9,1166.1,-7.591726761233075,2024-07,Loser
BAJFINANCE,7276.75,6806.95,-6.456178926031542,2024-07,Loser
HDFCBANK,1705.2,1615.75,-5.2457189772460735,2024-07,Loser
TATASTEEL,174.07,165.33,-5.020968575860276,2024-07,Loser
NESTLEIND,2568.1,2456.35,-4.351466064405591,2024-07,Loser
TRENT,5770.8,7158.75,24.051258057808273,2024-08,Gainer
BAJAJ-AUTO,9730.5,10891.55,11.932069266738598,2024-08,Gainer
BAJAJFINSV,1634.8,1783.05,9.068387570344996,2024-08,Gainer
SHRIRAMFIN,2989.25,3204.5,7.20080287697583,2024-08,Gainer
CIPLA,1546.2,1654.9,7.030138403828744,2024-08,Gainer
MARUTI,13359.05,12403.0,-7.156571762213626,2024-08,Loser
ADANIPORTS,1590.15,1481.9,-6.807533880451529,2024-08,Loser
POWERGRID,361.1,337.4,-6.563278870119092,2024-08,Loser
TATASTEEL,163.06,152.76,-6.31669324175151,2024-08,Loser
ADANIENT,3217.25,3019.35,-6.151216100707129,2024-08,Loser
M&M,2777.0,3094.9,11.44760532949226,2024-09,Gainer
BAJAJ-AUTO,11126.1,12345.95,10.963859753192946,2024-09,Gainer
SHRIRAMFIN,3225.25,3576.95,10.904581040229434,2024-09,Gainer
HINDALCO,683.9,756.2,10.571721011843847,2024-09,Gainer
TATASTEEL,152.88,168.55,10.249869178440619,2024-09,Gainer
TATAMOTORS,1092.65,974.65,-10.799432572186895,2024-09,Loser
ONGC,326.2,297.6,-8.767627222562835,2024-09,Loser
TCS,4521.05,4268.5,-5.586091726479473,2024-09,Loser
INFY,1964.5,1875.6,-4.525324510053454,2024-09,Loser
TECHM,1646.65,1577.2,-4.2176540248383105,2024-09,Loser
SBIN,796.95,820.2,2.9173724825898737,2024-10,Gainer
HDFCLIFE,710.2,720.15,1.4010137989298692,2024-10,Gainer
ICICIBANK,1274.4,1292.25,1.4006591337099739,2024-10,Gainer
WIPRO,546.75,551.8,0.9236396890717795,2024-10,Gainer
HDFCBANK,1726.2,1735.7,0.5503417912177037,2024-10,Gainer
INDUSINDBK,1409.7,1055.6,-25.11881960700859,2024-10,Loser
BAJAJ-AUTO,12157.45,9836.3,-19.09240835866075,2024-10,Loser
NESTLEIND,2707.05,2262.95,-16.405312055558646,2024-10,Loser
TATACONSUM,1196.25,1002.55,-16.192267502612335,2024-10,Loser
MARUTI,13166.0,11076.45,-15.870803584991638,2024-10,Loser
TECHM,1603.65,1747.45,8.967043931032329,2024-11,Gainer
INFY,1760.85,1902.25,8.030212681375478,2024-11,Gainer
HCLTECH,1757.4,1898.4,8.02321611471492,2024-11,Gainer
M&M,2817.65,3012.95,6.931308004897689,2024-11,Gainer
TCS,3984.2,4244.6,6.535816475076567,2024-11,Gainer
ADANIENT,2949.5,2228.0,-24.461773181895236,2024-11,Loser
ADANIPORTS,1394.4,1136.75,-18.477481353987383,2024-11,Loser
ASIANPAINT,2939.85,2472.2,-15.90727418065548,2024-11,Loser
BRITANNIA,5693.05,4848.35,-14.837389448538127,2024-11,Loser
NTPC,411.35,365.45,-11.158380940804676,2024-11,Loser
